channel_name,title,views,upload_date,duration,url
MrBeast,100 People Vs World’s Biggest Trap!,45M views,2 days ago,30:43,/watch?v=3RmOvxilbPM
MrBeast,"I Saved 1,000 Animals From Dying",97M views,2 weeks ago,17:36,/watch?v=Oo9EbArcQ1c&pp=0gcJCQMKAYcqIYzv
MrBeast,100 Kids Vs World's Strongest Man!,122M views,1 month ago,27:21,/watch?v=oBXSvS2QKxU
MrBeast,Hi Me In 10 Years,48M views,1 month ago,3:14,/watch?v=F0OkwXKcPSE
MrBeast,"Would You Risk Dying For $500,000?",97M views,1 month ago,25:26,/watch?v=zo7i8VTpfNM
MrBeast,"Survive 30 Days Chained To Your Ex, Win $250,000",163M views,1 month ago,37:04,/watch?v=4l97aNza_Zc&pp=0gcJCQMKAYcqIYzv
MrBeast,"$1 vs $1,000,000,000 Nuclear Bunker!",124M views,2 months ago,17:18,/watch?v=_AbFXuGDRTs
MrBeast,"Survive 100 Days In Prison, Win $500,000",124M views,2 months ago,39:36,/watch?v=TDv56whosPQ
MrBeast,"2,000,000 People Get Clean Water For The First Time!",81M views,3 months ago,10:20,/watch?v=Z4hVGCWH1Kc
MrBeast,"Survive 100 Days Trapped In A Private Jet, Keep It",134M views,3 months ago,33:03,/watch?v=pzBi1nwDn8U
MrBeast,World's Fastest Car Vs Cheetah!,187M views,4 months ago,20:37,/watch?v=FWAdfuPpLOc
MrBeast,"Lose 100 LBs, Win $250,000!",209M views,4 months ago,36:50,/watch?v=pe_ejTiIcSs
MrBeast,"$1 vs $500,000 Date",148M views,5 months ago,17:22,/watch?v=hTSaweR8qMI
MrBeast,"Beat Neymar, Win $500,000",154M views,5 months ago,27:53,/watch?v=DZIASl9q90s
MrBeast,I Survived 100 Hours In An Ancient Temple,119M views,6 months ago,15:46,/watch?v=-4GmbBoYQjE
MrBeast,"Would You Risk Drowning for $500,000?",192M views,6 months ago,25:46,/watch?v=uyiG6uw-6pA
MrBeast,Click This Video To Feed 1 Person,73M views,6 months ago,10:29,/watch?v=figrl0aOULs
MrBeast,I Survived The 5 Deadliest Places On Earth,160M views,7 months ago,13:23,/watch?v=aKq8bkY5eTU
MrBeast,"Last to Leave Their Circle Wins $500,000",191M views,8 months ago,38:38,/watch?v=zajUgQLviwk
MrBeast,I Spent 100 Hours Inside The Pyramids!,219M views,9 months ago,21:43,/watch?v=NDsO1LT_0lw
MrBeast,Every Minute One Person Is Eliminated,146M views,9 months ago,34:46,/watch?v=sF5LYGgKbUA
MrBeast,"I Helped 2,000 People Walk Again",126M views,9 months ago,15:31,/watch?v=SM66GDRyIVY
MrBeast,"2,000 People Fight For $5,000,000",185M views,10 months ago,24:45,/watch?v=gs8qfL9PNac
MrBeast,"Beat Ronaldo, Win $1,000,000",332M views,11 months ago,22:45,/watch?v=0BjlBnfHcHM
MrBeast,"$1 vs $500,000 Experiences!",265M views,1 year ago,17:40,/watch?v=Xj0Jtjg3lHQ
MrBeast,7 Days Exploring An Underground City,167M views,1 year ago,20:35,/watch?v=bn0Kh9c4Zv4
MrBeast,"100 Identical Twins Fight For $250,000",182M views,1 year ago,35:40,/watch?v=snX5YyflrGw
MrBeast,"Men Vs Women Survive In The Wilderness For $500,000",209M views,1 year ago,31:48,/watch?v=aRcUVhVlSHg
MrBeast,7 Days Stranded In A Cave,164M views,1 year ago,17:59,/watch?v=ndAQfTzlVjc
